tf,ma,z,gate,stop,rr,ret,pf,n,win,dd,sharpe
1h,20,1.5,False,3.0,2.0,0.017819479688673034,1.0201885751178987,116,0.35344827586206895,-0.24289473516422488,0.18866020024059788
1h,20,2.0,True,1.0,0.5,-0.7153353687098318,0.4487805066553375,484,0.5661157024793388,-0.72968049540119,-7.092443999227675
1h,20,2.0,True,1.0,0.75,-0.633029589721966,0.5777019114563877,456,0.506578947368421,-0.6697208585391151,-4.988816423796808
1h,20,2.0,True,1.0,1.0,-0.610613919602804,0.6448932589295092,443,0.4492099322799097,-0.661634324220775,-4.1983865685005295
1h,20,2.0,True,1.0,1.5,-0.5908406710538091,0.6968337223877791,423,0.3617021276595745,-0.6403784863906841,-3.3767090754110907
1h,20,2.0,True,1.0,2.0,-0.48418602033768643,0.7786026567185158,408,0.31862745098039214,-0.5704589080142215,-2.148631991906655
1h,20,2.0,True,1.5,0.5,-0.4671361166305459,0.5987344113467344,398,0.6080402010050251,-0.49350529601394855,-4.068032849898257
1h,20,2.0,True,1.5,0.75,-0.44996835933775325,0.6680449545576597,372,0.521505376344086,-0.4942866864649923,-3.3515526580962383
1h,20,2.0,True,1.5,1.0,-0.43065728535090797,0.7122514357439353,359,0.4596100278551532,-0.4659134412622533,-2.816625817512995
1h,20,2.0,True,1.5,1.5,-0.34499587137674037,0.7939721063979167,331,0.3806646525679758,-0.424023745633205,-1.7759042542800993
1h,20,2.0,True,1.5,2.0,-0.25416576269444346,0.8714793995665321,293,0.32764505119453924,-0.39507385961626507,-1.0837411613620322
1h,20,2.0,True,2.0,0.5,-0.3422763867402918,0.6816510805450506,337,0.6201780415430267,-0.39639466893719444,-3.005092400865465
1h,20,2.0,True,2.0,0.75,-0.33691740127458447,0.7172611601567709,301,0.5249169435215947,-0.36859425900974907,-2.596044356421899
1h,20,2.0,True,2.0,1.0,-0.29826952761946657,0.7618549879728812,280,0.4642857142857143,-0.3793956043354546,-2.01376197675392
1h,20,2.0,True,2.0,1.5,-0.19330314694953799,0.8661712023427585,235,0.3872340425531915,-0.30901358118970834,-1.0515888031539664
1h,20,2.0,True,2.0,2.0,-0.000755715365598153,0.9994361109155845,186,0.3548387096774194,-0.2026205118504436,0.09110088450823008
1h,20,2.0,True,3.0,0.5,-0.17497128301946563,0.7901674487239668,244,0.639344262295082,-0.23777249888160257,-1.6397308993757846
1h,20,2.0,True,3.0,0.75,-0.13578967264255004,0.8536001495079109,214,0.5560747663551402,-0.2441779757179744,-1.0737728891629332
1h,20,2.0,True,3.0,1.0,-0.05913411863939799,0.937780857757076,178,0.5056179775280899,-0.21793809156839306,-0.38722945623492305
1h,20,2.0,True,3.0,1.5,0.120204221460263,1.137211592324585,139,0.45323741007194246,-0.09481212244612958,0.8375506003107894
1h,20,2.0,True,3.0,2.0,0.10035003548777244,1.1366949753235536,107,0.38317757009345793,-0.11309416562054142,0.7022636846197691
1h,20,2.0,False,1.0,0.5,-0.8082631269517071,0.4551259629211619,639,0.5618153364632238,-0.8179925155068212,-8.039186695402625
1h,20,2.0,False,1.0,0.75,-0.7272136569118615,0.5827420776409719,603,0.5058043117744611,-0.7571537131045739,-5.607848150976374
1h,20,2.0,False,1.0,1.0,-0.6929901157894411,0.6576143657134876,588,0.45068027210884354,-0.7321878713264183,-4.536151553374725
1h,20,2.0,False,1.0,1.5,-0.6286800435885151,0.7389409822252108,558,0.3709677419354839,-0.6803728979051029,-3.1996052123133185
1h,20,2.0,False,1.0,2.0,-0.5289554144161692,0.8031478271539757,533,0.3227016885553471,-0.6154746964937192,-2.101851142304621
1h,20,2.0,False,1.5,0.5,-0.5420925589134431,0.6130649384736184,523,0.609942638623327,-0.5651751894561861,-4.3723111500707805
1h,20,2.0,False,1.5,0.75,-0.5292581006359767,0.6838651233469658,492,0.5223577235772358,-0.5705604834349236,-3.652061808864368
1h,20,2.0,False,1.5,1.0,-0.46782772602167366,0.7536639216182567,473,0.46723044397463004,-0.5061178373072036,-2.7150267334241427
1h,20,2.0,False,1.5,1.5,-0.3818751612972855,0.8207714343517659,429,0.38461538461538464,-0.4600749828065861,-1.7521344039246158
1h,20,2.0,False,1.5,2.0,-0.2549069264873143,0.9046803348596207,380,0.33421052631578946,-0.42004291886098954,-0.918632916651107
1h,20,2.0,False,2.0,0.5,-0.33323411745709886,0.7472185856828384,436,0.6376146788990825,-0.37942266800233926,-2.5578226973222002
1h,20,2.0,False,2.0,0.75,-0.3270109196999583,0.782451523378405,391,0.5421994884910486,-0.35811062170158536,-2.1675637401632035
1h,20,2.0,False,2.0,1.0,-0.3467146661351789,0.7750588369565931,360,0.4666666666666667,-0.4091497735979842,-2.1206770042007475
1h,20,2.0,False,2.0,1.5,-0.09670254455716809,0.9493954600813335,305,0.4098360655737705,-0.2703364414400965,-0.3656931746242295
1h,20,2.0,False,2.0,2.0,0.05323428328155155,1.0306624767638222,235,0.3617021276595745,-0.20721461974404676,0.34023555981934384
1h,20,2.0,False,3.0,0.5,-0.14302671685470725,0.860941821290547,311,0.6559485530546624,-0.2056057391867685,-1.1530049437121066
1h,20,2.0,False,3.0,0.75,-0.061826167332087456,0.946283050183833,269,0.5799256505576208,-0.17038611992762165,-0.3764390769900791
1h,20,2.0,False,3.0,1.0,0.09312793057870539,1.0797416125877786,224,0.5401785714285714,-0.11430224331079664,0.6657480949744526
1h,20,2.0,False,3.0,1.5,0.037250629870687835,1.039427900337817,157,0.4267515923566879,-0.09805991057879859,0.3106835564444378
1h,20,2.0,False,3.0,2.0,-0.062388351600660696,0.9188395454007883,110,0.32727272727272727,-0.15218760412243015,-0.36519783702874326
1h,20,2.5,True,1.0,0.5,-0.395456410435887,0.5009537754330841,226,0.588495575221239,-0.40215140375922187,-4.230170258229351
1h,20,2.5,True,1.0,0.75,-0.35575840493884925,0.6243344365197054,223,0.5201793721973094,-0.404204394725138,-3.1819488868994896
1h,20,2.5,True,1.0,1.0,-0.2741842476234543,0.746634416192047,220,0.4818181818181818,-0.3684406897871987,-2.0404085666631815
1h,20,2.5,True,1.0,1.5,-0.23038698191038953,0.8166350669823307,217,0.39631336405529954,-0.3072046567419937,-1.3421234476174342
1h,20,2.5,True,1.0,2.0,-0.10375999223967958,0.9275523071674542,217,0.3548387096774194,-0.30428565787669004,-0.40803903601356883
1h,20,2.5,True,1.5,0.5,-0.28701991155106,0.6080817032994061,209,0.6076555023923444,-0.3358471364800336,-3.0234614528838684
1h,20,2.5,True,1.5,0.75,-0.2677243321792029,0.6928160878254408,203,0.5270935960591133,-0.328162563836248,-2.375125673088543
1h,20,2.5,True,1.5,1.0,-0.1939998452765781,0.8024241998928956,200,0.485,-0.26037566105549903,-1.4293686575379958
1h,20,2.5,True,1.5,1.5,-0.12131267874879481,0.8961426078360334,197,0.40609137055837563,-0.25224750986255584,-0.656300033507535
1h,20,2.5,True,1.5,2.0,0.017448171816626168,1.0128131214715963,184,0.3641304347826087,-0.1986817138063005,0.18274232322009973
1h,20,2.5,True,2.0,0.5,-0.08888071370641137,0.8511608489498332,181,0.6685082872928176,-0.19931143400582163,-0.9226489636763971
1h,20,2.5,True,2.0,0.75,-0.04723428217574732,0.9345891857394556,172,0.5872093023255814,-0.15996908887942551,-0.3695772087863256
1h,20,2.5,True,2.0,1.0,0.013841769385052993,1.0167586730864386,169,0.5325443786982249,-0.16924779168710624,0.16857721989636576
1h,20,2.5,True,2.0,1.5,0.1274730265623012,1.125756022545804,156,0.4551282051282051,-0.1342369188708693,0.8399207847589597
1h,20,2.5,True,2.0,2.0,0.05707482307851097,1.0628150019693796,133,0.3684210526315789,-0.14268087650527927,0.4110814350065757
1h,20,2.5,True,3.0,0.5,-0.06112901247857738,0.8816460225246769,153,0.6666666666666666,-0.11884386934888469,-0.6711886077426206
1h,20,2.5,True,3.0,0.75,-0.019874089483932766,0.9678321884677783,143,0.5874125874125874,-0.13924757420852152,-0.14317129958455432
1h,20,2.5,True,3.0,1.0,0.05429215604315529,1.079779892094353,131,0.5419847328244275,-0.10656161883411752,0.5161771517653333
1h,20,2.5,True,3.0,1.5,0.028536904681223607,1.0458608238888942,102,0.43137254901960786,-0.06808948800552916,0.28499405491159635
1h,20,2.5,True,3.0,2.0,0.04853031360932203,1.0832552285787431,87,0.367816091954023,-0.10660951363690141,0.4154392929201443
1h,20,2.5,False,1.0,0.5,-0.4362162407717701,0.5375363596252688,286,0.5944055944055944,-0.4495048180093535,-4.117625610413075
1h,20,2.5,False,1.0,0.75,-0.3799711431696132,0.6661779048218501,282,0.5283687943262412,-0.4383455109968809,-2.98003828506351
1h,20,2.5,False,1.0,1.0,-0.2645868457716337,0.7990685756150417,279,0.4910394265232975,-0.3625648215707534,-1.6624095637506369
1h,20,2.5,False,1.0,1.5,-0.16344584491546177,0.8963989085820807,275,0.4109090909090909,-0.27521983872448064,-0.7356350138425406
1h,20,2.5,False,1.0,2.0,-0.004903208683675997,0.9973543431142152,273,0.3663003663003663,-0.24672240591988237,0.09842589587044821
1h,20,2.5,False,1.5,0.5,-0.31285734777547436,0.6447027914944276,262,0.6145038167938931,-0.3685700817714159,-2.9405378405828935
1h,20,2.5,False,1.5,0.75,-0.2899607711623783,0.7272315660380719,256,0.53125,-0.3461617441472833,-2.2744597533893303
1h,20,2.5,False,1.5,1.0,-0.20317763855567705,0.8329709461494946,251,0.4860557768924303,-0.2755162778353035,-1.3022353258888906
1h,20,2.5,False,1.5,1.5,-0.09113534437246895,0.9382893771003373,247,0.41295546558704455,-0.24613957705489653,-0.38803144297522435
1h,20,2.5,False,1.5,2.0,0.16077877717545008,1.0883109547122478,234,0.3803418803418803,-0.156039849504355,0.7672550861085451
1h,20,2.5,False,2.0,0.5,-0.06419025980857973,0.911235924740891,226,0.6769911504424779,-0.2050376394044453,-0.5573944583543667
1h,20,2.5,False,2.0,0.75,-0.051180811868904996,0.9433354140592918,215,0.5813953488372093,-0.17716261582796922,-0.34181682943938413
1h,20,2.5,False,2.0,1.0,0.012355447233407757,1.0120551327859626,209,0.5263157894736842,-0.1840925170117227,0.1547682011963969
1h,20,2.5,False,2.0,1.5,0.19741705383593455,1.1513000710334913,196,0.45918367346938777,-0.11141273122453976,1.1043459394872601
1h,20,2.5,False,2.0,2.0,0.05319016334279181,1.046510501303171,167,0.3652694610778443,-0.16799147879291598,0.36667788712380034
1h,20,2.5,False,3.0,0.5,-0.02295867005242469,0.9638295104037642,193,0.6787564766839378,-0.0897042367074955,-0.18603464351940266
1h,20,2.5,False,3.0,0.75,0.055135435861558335,1.072650915523411,179,0.6089385474860335,-0.09055209077857018,0.5200195538239494
1h,20,2.5,False,3.0,1.0,0.16313937539458934,1.18746952907062,166,0.5662650602409639,-0.08328381513473437,1.2305221455251114
1h,20,2.5,False,3.0,1.5,0.04797841177989448,1.0622009032452995,127,0.4330708661417323,-0.07878096254091016,0.4023647512747243
