tf,dc,adx,struct,shorts,stop,rr,ret,pf,n,win,dd
1h,10,0.0,False,True,3.0,1.5,-0.14572648529291599,0.8385664235642701,164,0.3780487804878049,-0.21809676163655134
1h,10,0.0,False,True,3.0,2.0,-0.13080834947789377,0.841755337929395,131,0.31297709923664124,-0.20711870853579295
1h,10,0.0,False,True,3.0,3.0,-0.16388191158073295,0.7588172337366299,98,0.21428571428571427,-0.2230255335065091
1h,10,0.0,False,False,1.5,1.0,-0.37990077865728855,0.6698969323206533,238,0.4369747899159664,-0.4008594965808263
1h,10,0.0,False,False,1.5,1.5,-0.364091763157805,0.6823784796711329,200,0.34,-0.37743239605207224
1h,10,0.0,False,False,1.5,2.0,-0.355634792021311,0.6923415700681167,182,0.2802197802197802,-0.36108489203548855
1h,10,0.0,False,False,1.5,3.0,-0.28660546063613224,0.7497948788864253,157,0.21656050955414013,-0.30490048705346695
1h,10,0.0,False,False,2.0,1.0,-0.2656670549667415,0.724676227434122,196,0.4489795918367347,-0.27051085687715193
1h,10,0.0,False,False,2.0,1.5,-0.33500690341300465,0.6571118479473347,173,0.32947976878612717,-0.3491313507617544
1h,10,0.0,False,False,2.0,2.0,-0.29031829442702106,0.7122828599444092,160,0.28125,-0.29636308191793626
1h,10,0.0,False,False,2.0,3.0,-0.22973656131930442,0.7326467379936222,119,0.21008403361344538,-0.22973656131930442
1h,10,0.0,False,False,3.0,1.0,-0.22760643873205744,0.6889127456927275,150,0.43333333333333335,-0.23563612989672322
1h,10,0.0,False,False,3.0,1.5,-0.17994339563511252,0.7411727945462763,116,0.3448275862068966,-0.18335159453875172
1h,10,0.0,False,False,3.0,2.0,-0.15329470342102813,0.7471603922438764,94,0.2872340425531915,-0.16729916583087612
1h,10,0.0,False,False,3.0,3.0,-0.10228265787256519,0.8223757821442998,79,0.22784810126582278,-0.13782551383216446
1h,10,20.0,True,True,1.5,1.0,-0.2397150258296077,0.5636737803435451,100,0.4,-0.2397150258296077
1h,10,20.0,True,True,1.5,1.5,-0.20775592768778806,0.6260324615903253,89,0.3258426966292135,-0.23283107658097635
1h,10,20.0,True,True,1.5,2.0,-0.2242926658949621,0.6057818094327342,82,0.25609756097560976,-0.2242926658949621
1h,10,20.0,True,True,1.5,3.0,-0.26001486133378826,0.5487885262388335,76,0.17105263157894737,-0.26001486133378826
1h,10,20.0,True,True,2.0,1.0,-0.181860413933581,0.6256262808825998,91,0.4175824175824176,-0.19740919423343262
1h,10,20.0,True,True,2.0,1.5,-0.14485852163015167,0.7097615673485688,81,0.345679012345679,-0.16248460156157596
1h,10,20.0,True,True,2.0,2.0,-0.21557196067039197,0.5743699353470739,74,0.24324324324324326,-0.21557196067039197
1h,10,20.0,True,True,2.0,3.0,-0.32540483239865803,0.3209376246728682,64,0.109375,-0.32540483239865803
1h,10,20.0,True,True,3.0,1.0,-0.138130550423053,0.6554216702955004,76,0.42105263157894735,-0.1681915988552688
1h,10,20.0,True,True,3.0,1.5,-0.14593474840267662,0.6560709900708702,68,0.3235294117647059,-0.16289044264352137
1h,10,20.0,True,True,3.0,2.0,-0.25183816867652364,0.3770952727297182,57,0.17543859649122806,-0.2656437799059417
1h,10,20.0,True,True,3.0,3.0,-0.1319027647699893,0.6560979438537686,52,0.19230769230769232,-0.15644299637987202
1h,10,20.0,True,False,1.5,1.0,-0.1521279868820753,0.48206040139936956,47,0.3617021276595745,-0.1521279868820753
1h,10,20.0,True,False,1.5,1.5,-0.15108048936351226,0.5011361809069401,43,0.27906976744186046,-0.1566644798362239
1h,10,20.0,True,False,1.5,2.0,-0.17374612260292854,0.4423866250694396,40,0.2,-0.17374612260292854
1h,10,20.0,True,False,1.5,3.0,-0.16490902663700413,0.4908128193676965,39,0.15384615384615385,-0.17088041857073089
1h,10,20.0,True,False,2.0,1.0,-0.1504758797357728,0.4541561273437675,44,0.3409090909090909,-0.1504758797357728
1h,10,20.0,True,False,2.0,1.5,-0.1581052159661318,0.447969581557877,40,0.25,-0.16146615443545254
1h,10,20.0,True,False,2.0,2.0,-0.17443727811380527,0.410994394803812,38,0.18421052631578946,-0.17443727811380527
1h,10,20.0,True,False,2.0,3.0,-0.22090192671126407,0.2579137427673945,35,0.08571428571428572,-0.22090192671126407
1h,10,20.0,True,False,3.0,1.0,-0.09854895194638136,0.5507750757564499,37,0.3783783783783784,-0.10905247137753704
1h,10,20.0,True,False,3.0,1.5,-0.10783475418212041,0.5502616106039762,35,0.2857142857142857,-0.11801613958706125
1h,10,20.0,True,False,3.0,2.0,-0.12184306767551956,0.45728002344507346,30,0.2,-0.12776855926807695
1h,10,20.0,True,False,3.0,3.0,-0.13962798596235648,0.42346629012072,30,0.13333333333333333,-0.13962798596235648
1h,10,20.0,False,True,1.5,1.0,-0.4498241889839937,0.6775514045953316,320,0.44375,-0.45734989963875883
1h,10,20.0,False,True,1.5,1.5,-0.35140928615920186,0.7436615350133973,263,0.3650190114068441,-0.35442180444541493
1h,10,20.0,False,True,1.5,2.0,-0.3751905703465501,0.722381697105323,235,0.2936170212765957,-0.3850935972910756
1h,10,20.0,False,True,1.5,3.0,-0.27243127193674177,0.8010428726780239,199,0.23115577889447236,-0.298489616081423
1h,10,20.0,False,True,2.0,1.0,-0.24474872515580948,0.7934963217703978,254,0.47244094488188976,-0.25588465290061624
1h,10,20.0,False,True,2.0,1.5,-0.26020124369480835,0.7670327175625916,208,0.36538461538461536,-0.2864383983632395
1h,10,20.0,False,True,2.0,2.0,-0.3135066775074713,0.7234259708666761,197,0.2893401015228426,-0.33729074134222825
1h,10,20.0,False,True,2.0,3.0,-0.006099397500181292,0.9937412834880102,128,0.265625,-0.20233312747385968
1h,10,20.0,False,True,3.0,1.0,-0.18583963952935645,0.7671241922706302,176,0.4602272727272727,-0.2658718588859994
1h,10,20.0,False,True,3.0,1.5,-0.15868265328874243,0.7949252968455706,139,0.3669064748201439,-0.2135811431521657
1h,10,20.0,False,True,3.0,2.0,-0.03002439011834246,0.9554077832651028,109,0.3394495412844037,-0.1880962908447662
